Site ID,Name,Principal Investigator,Data Use Policy,AmeriFlux BASE Data,AmeriFlux FLUXNET Data,Vegetation Abbreviation (IGBP),Vegetation Description (IGBP),Climate Class Abbreviation (Koeppen),Climate Class Description (Koeppen),Mean Average Precipitation (mm),Mean Average Temperature (degrees C),Country,Latitude (degrees),Longitude (degrees),Elevation (m),Years of AmeriFlux BASE Data,AmeriFlux BASE DOI,Years of AmeriFlux FLUXNET Data,AmeriFlux FLUXNET DOI,Site Start,Site End,BASE variables available,FLUXNET variables available,geometry,koppen_color_id,#_yr_data,circle_size,filename
US-Ha1,Harvard Forest EMS Tower (HFR1),J. William  Munger (jwmunger@seas.harvard.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1071.0,6.62,USA,42.5378,-72.1715,340.0,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246059,"1991, 1992, 1993, 1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871137,1991,,"CO2, FC, FH2O, H, H2O, LE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RH, SC, SWC, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,POINT (-72.17149999999999 42.5378),26,30.0,80,AMF_US-Ha1_FLUXNET_FULLSET_HR_1991-2020_3-5.csv
CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",Ralf Staebler (Ralf.Staebler@ec.gc.ca),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,876.34,6.66,Canada,44.3167,-79.9333,120.0,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1498755,"1994, 1995, 1996, 1997, 1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854365,1995,,"CO2, CO2_SIGMA, FC, FO3, G, H, H2O, LE, LEAF_WET, LW_IN, LW_OUT, NEE, NETRAD, O3, PA, PPFD_IN, PPFD_OUT, RH, SC, SO2, SWC, SW_IN, SW_OUT, TA, T_BOLE, TS, T_SONIC, USTAR, WD, WS, W_SIGMA",,POINT (-79.9333 44.3167),26,27.0,80,AMF_CA-Cbo_FLUXNET_FULLSET_HH_1994-2020_3-5.csv
US-MMS,Morgan Monroe State Forest,Rich Phillips (rpp6@indiana.edu),CC-BY-4.0,Yes,Yes,DBF,Deciduous Broadleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters.  Consists of broadleaf tree communities with an annual cycle of leaf-on and leaf-off periods.,Cfa,"Humid Subtropical: mild with no dry season, hot summer",1032.0,10.85,USA,39.3232,-86.4131,275.0,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246080,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854369,1999,,"CO2, FC, G, H, H2O, LE, LW_BC_IN, LW_BC_OUT, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_BC_IN, PPFD_DIF, PPFD_IN, RECO, RH, SW_BC_IN, SW_BC_OUT, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA",,POINT (-86.4131 39.3232),14,22.0,80,AMF_US-MMS_FLUXNET_FULLSET_HR_1999-2020_3-5.csv
US-Ho2,Howland Forest (west tower),Andrew Ouimette (Andrew.Ouimette@usda.gov),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,1064.0,5.13,USA,45.2091,-68.747,61.0,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1246062,"1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1881581,1999,,"CO2, FC, FC_SSITC_TEST, FETCH_70, FETCH_90, FETCH_MAX, H, H2O, H_SSITC_TEST, LE, LE_SSITC_TEST, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_IN, P_RAIN, RH, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, USTAR, WD, WS, ZL",,POINT (-68.747 45.2091),26,22.0,80,AMF_US-Ho2_FLUXNET_FULLSET_HH_1999-2020_3-5.csv
US-Var,Vaira Ranch- Ione,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,GRA,"Grasslands: Lands with herbaceous types of cover. Tree and shrub cover is less than 10%. Permanent wetlands lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.",Csa,"Mediterranean: mild with dry, hot summer",559.0,15.8,USA,38.4133,-120.9508,129.0,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1245984,"2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/1993904,2000,,"CO2, CO2_SIGMA, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SWC, SW_IN, SW_OUT, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, ZL",,POINT (-120.9508 38.4133),8,22.0,80,AMF_US-Var_FLUXNET_FULLSET_HH_2000-2021_3-5.csv
US-Ton,Tonzi Ranch,Dennis Baldocchi (Baldocchi@berkeley.edu),CC-BY-4.0,Yes,Yes,WSA,"Woody Savannas: Lands with herbaceous and other understory systems, and with forest canopy cover between 30-60%. The forest cover height exceeds 2 meters.",Csa,"Mediterranean: mild with dry, hot summer",559.0,15.8,USA,38.4309,-120.966,177.0,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1245971,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204880,2001,,"CO2, CO2_SIGMA, COND_WATER, FC, G, GPP, H, H2O, H2O_SIGMA, LE, LW_IN, LW_OUT, MO_LENGTH, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, SWP, TA, TAU, TS, T_SONIC, T_SONIC_SIGMA, TW, U_SIGMA, USTAR, VPD, V_SIGMA, WD, WS, W_SIGMA, WTD, ZL",,POINT (-120.966 38.4309),8,21.0,80,AMF_US-Ton_FLUXNET_FULLSET_HH_2001-2021_3-5.csv
US-Syv,Sylvania Wilderness Area,Ankur Desai (desai@aos.wisc.edu),CC-BY-4.0,Yes,Yes,MF,Mixed Forests: Lands dominated by trees with a percent cover >60% and height exceeding 2 meters.  Consists of tree communities with interspersed mixtures or mosaics of the other four forest types.  None of the forest types exceeds 60% of landscape.,Dfb,Warm Summer Continental: significant precipitation in all seasons ,826.0,3.81,USA,46.242,-89.3477,540.0,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023",https://doi.org/10.17190/AMF/1246106,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021",https://doi.org/10.17190/AMF/2204879,2001,,"CO2, FC, FETCH_90, FETCH_MAX, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_IN, RECO, RH, SC, SH, SLE, SWC, SW_IN, SW_OUT, TA, THROUGHFALL, TS, USTAR, VPD, WD, WS, ZL",,POINT (-89.3477 46.242),26,21.0,80,AMF_US-Syv_FLUXNET_FULLSET_HH_2001-2021_3-5.csv
US-Ne1,Mead - irrigated continuous maize site,Andy Suyker (asuyker1@unl.edu),CC-BY-4.0,Yes,Yes,CRO,"Croplands: Lands covered with temporary crops followed by harvest and a bare soil period (e.g., single and multiple cropping systems). Note that perennial woody crops will be classified as the appropriate forest or shrub land cover type.",Dfa,"Humid Continental: humid with severe winter, no dry season, hot summer",790.37,10.07,USA,41.1651,-96.4766,361.0,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246084,"2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1871140,2001,,"CO2, FAPAR, FC, G, GPP, H, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, PPFD_OUT, RECO, RH, SC, SWC, SW_IN, SW_OUT, TA, TS, USTAR, WD, WS, ZL",,POINT (-96.4766 41.1651),25,20.0,80,AMF_US-Ne1_FLUXNET_FULLSET_HR_2001-2020_3-5.csv
US-NR1,Niwot Ridge Forest (LTER NWT1),Peter Blanken (Blanken@Colorado.EDU),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Dfc,"Subarctic: severe winter, no dry season, cool summer",800.0,1.5,USA,40.0329,-105.5464,3050.0,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246088,"1998, 1999, 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016",https://doi.org/10.17190/AMF/1871141,1998,,"CO2, CO2C13, FC, G, H, LE, LEAF_WET, LW_IN, LW_OUT, NETRAD, P, PA, PPFD_IN, PPFD_OUT, RH, SB, SC, SG, SH, SLE, SWC, SW_IN, SW_OUT, TA, TAU, T_BOLE, TS, USTAR, VPD, WD, WS, ZL",,POINT (-105.5464 40.0329),27,19.0,45,AMF_US-NR1_FLUXNET_FULLSET_HH_1998-2016_3-5.csv
US-Me2,Metolius mature ponderosa pine,Chris Still (chris.still@oregonstate.edu),CC-BY-4.0,Yes,Yes,ENF,Evergreen Needleleaf Forests: Lands dominated by woody vegetation with a percent cover >60% and height exceeding 2 meters. Almost all trees remain green all year. Canopy is never without green foliage.,Csb,"Mediterranean: mild with dry, warm summer",523.0,6.28,USA,44.4526,-121.5589,1253.0,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022",https://doi.org/10.17190/AMF/1246076,"2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017, 2018, 2019, 2020",https://doi.org/10.17190/AMF/1854368,2002,,"ALB, CO2, D_SNOW, FC, G, GPP, H, H2O, LE, LW_IN, LW_OUT, NEE, NETRAD, P, PA, PPFD_DIF, PPFD_DIR, PPFD_IN, RECO, RH, SWC, SW_IN, SW_OUT, TA, TS, T_SONIC, T_SONIC_SIGMA, U_SIGMA, USTAR, V_SIGMA, WD, WS, W_SIGMA",,POINT (-121.5589 44.4526),9,19.0,45,AMF_US-Me2_FLUXNET_FULLSET_HH_2002-2020_3-5.csv
